BatchClusters,mergedcelltype,coursecelltype
B1UnSort_0,Mono_Class.Int,Mono
B1UnSort_1,NK,NK
B1UnSort_10,Mono_NonClassical,Mono
B1UnSort_11,Mono_Class.Int,Mono
B1UnSort_12,NK,NK
B1UnSort_13,CD8_Naive,CD8
B1UnSort_14,CD4_Mem,CD4
B1UnSort_15,B_Mem,B
B1UnSort_16,gammadeltaT,gammadeltaT
B1UnSort_17,Platelets,Platelets
B1UnSort_18,pDC.cDC,pDC.cDC
B1UnSort_19,MAIT,MAIT
B1UnSort_2,Mono_Class.Int,Mono
B1UnSort_20,RBC,RBC
B1UnSort_21,PB_Plasmablasts,PB
B1UnSort_22,Mono.NK,Dblt
B1UnSort_23,Basophils,Basophils
B1UnSort_24,TissueResMemT,TissueResMemT
B1UnSort_25,Mono.T,Dblt
B1UnSort_3,Mono_Class.Int,Mono
B1UnSort_4,B_Naive,B
B1UnSort_5,CD8_Mem,CD8
B1UnSort_6,CD4_Mem,CD4
B1UnSort_7,B_Naive,B
B1UnSort_8,CD4_Naive,CD4
B1UnSort_9,B_Mem,B
B2Sort_0,CD4_Mem,CD4
B2Sort_1,CD8_Mem,CD8
B2Sort_10,gammadeltaT,gammadeltaT
B2Sort_11,MAIT,MAIT
B2Sort_12,Mono_Class.Int,Mono
B2Sort_13,PB_Plasmablasts,PB
B2Sort_14,Mono_NonClassical,Mono
B2Sort_15,Platelets,Platelets
B2Sort_16,B_Mem,B
B2Sort_17,Unknown,Unknown
B2Sort_18,pDC.cDC,pDC.cDC
B2Sort_2,B_Mem,B
B2Sort_3,Mono_Class.Int,Mono
B2Sort_4,CD4_Mem,CD4
B2Sort_5,B_Mem,B
B2Sort_6,CD8_Mem,CD8
B2Sort_7,B_Mem,B
B2Sort_8,CD4_Mem,CD4
B2Sort_9,NK,NK
B2UnSort_0,CD4_Mem,CD4
B2UnSort_1,Mono_Class.Int,Mono
B2UnSort_10,Mono_NonClassical,Mono
B2UnSort_11,NK,NK
B2UnSort_12,gammadeltaT,gammadeltaT
B2UnSort_13,Platelets,Platelets
B2UnSort_14,MAIT,MAIT
B2UnSort_15,DNT,DNT
B2UnSort_16,B_Mem,B
B2UnSort_17,CD4.Platelet,Dblt
B2UnSort_18,Granulocytes,Granulocytes
B2UnSort_19,RBC.Tcell,Dblt
B2UnSort_2,CD4_Naive,CD4
B2UnSort_20,Dblt_Mono.T,Dblt
B2UnSort_21,NK,NK
B2UnSort_22,CD8_Mem,CD8
B2UnSort_23,pDC.cDC,pDC.cDC
B2UnSort_24,pDC.cDC,pDC.cDC
B2UnSort_25,PB_Plasmablasts,PB
B2UnSort_26,MAIT,MAIT
B2UnSort_27,DNT,DNT
B2UnSort_28,TissueResMemT,TissueResMemT
B2UnSort_29,Basophils,Basophils
B2UnSort_3,CD8_Mem,CD8
B2UnSort_30,Unknown,Unknown
B2UnSort_31,Tcell,Tcell
B2UnSort_32,Tcell,Tcell
B2UnSort_4,NK,NK
B2UnSort_5,CD4_Naive,CD4
B2UnSort_6,B_Naive,B
B2UnSort_7,CD8_Naive,CD8
B2UnSort_8,Mono_Class.Int,Mono
B2UnSort_9,CD8_Mem,CD8
B3Sort_0,CD4_Mem,CD4
B3Sort_1,Mono_Class.Int,Mono
B3Sort_10,MAIT,MAIT
B3Sort_11,Unknown,Unknown
B3Sort_12,B_Mem,B
B3Sort_13,gammadeltaT,gammadeltaT
B3Sort_14,TissueResMemT,TissueResMemT
B3Sort_15,dim,dim
B3Sort_16,PB_Plasmablasts,PB
B3Sort_17,gammadeltaT,gammadeltaT
B3Sort_18,Mono_NonClassical,Mono
B3Sort_19,B.Granulocyte,Dblt
B3Sort_2,CD8_Mem,CD8
B3Sort_20,NK,NK
B3Sort_21,Platelets,Platelets
B3Sort_22,Unknown,Unknown
B3Sort_23,TCRVbeta13.1pos,TCRVbeta13.1pos
B3Sort_3,B_Mem,B
B3Sort_4,CD4_Mem,CD4
B3Sort_5,CD4_Mem,CD4
B3Sort_6,CD8_Mem,CD8
B3Sort_7,B_Mem,B
B3Sort_8,CD4_Mem,CD4
B3Sort_9,NK,NK
B3UnSort_0,CD4_Mem,CD4
B3UnSort_1,Mono_Class.Int,Mono
B3UnSort_10,Mono_Class.Int,Mono
B3UnSort_11,Dblt_T:Granulocytes,Dblt
B3UnSort_12,DNT,DNT
B3UnSort_13,Platelets,Platelets
B3UnSort_14,MAIT,MAIT
B3UnSort_15,DNT,DNT
B3UnSort_16,Mono_Class.Int,Mono
B3UnSort_17,gammadeltaT,gammadeltaT
B3UnSort_18,NK,NK
B3UnSort_19,Dblt_Mono.T,Dblt
B3UnSort_2,Mono_Class.Int,Mono
B3UnSort_20,TissueResMemT,TissueResMemT
B3UnSort_21,PB_Plasmablasts,PB
B3UnSort_22,pDC.cDC,pDC.cDC
B3UnSort_23,pDC.cDC,pDC.cDC
B3UnSort_24,RBC.Tcell,Dblt
B3UnSort_25,Unknown,Unknown
B3UnSort_26,Unknown,Unknown
B3UnSort_3,CD8_Mem,CD8
B3UnSort_4,NK,NK
B3UnSort_5,B_Naive,B
B3UnSort_6,CD4_Naive,CD4
B3UnSort_7,CD4_Naive,CD4
B3UnSort_8,CD8_Naive,CD8
B3UnSort_9,Mono_NonClassical,Mono